customerID,tenure_group,charge_tier,MonthlyCharges,TotalCharges,tenure,Contract,PaymentMethod,churn_label
4849-PYRLQ,loyal,high,73.25,4054.2,56,Two year,Bank transfer (automatic),0
9117-SHLZX,new,medium,45.7,45.7,1,Month-to-month,Mailed check,1
9889-TMAHG,new,high,100.3,832.35,8,Month-to-month,Credit card (automatic),1
4541-RMRLG,new,low,19.25,112.3,7,Month-to-month,Electronic check,1
7764-BDPEE,new,low,20.85,60.65,3,Month-to-month,Mailed check,0
3429-IFLEM,loyal,high,77.35,5550.1,71,Two year,Credit card (automatic),0
3158-MOERK,new,high,96.0,174.8,2,Month-to-month,Electronic check,1
7294-TMAOP,new,high,90.55,90.55,1,Month-to-month,Electronic check,1
5002-GCQFH,loyal,high,93.85,4733.1,49,Month-to-month,Bank transfer (automatic),0
0556-FJEGU,loyal,high,70.1,4048.95,58,Two year,Bank transfer (automatic),0
8919-FYFQZ,loyal,low,30.35,1359.7,44,Month-to-month,Electronic check,1
0604-THJFP,loyal,high,75.95,4542.35,59,Two year,Credit card (automatic),0
2834-JRTUA,loyal,high,108.05,7532.15,71,Two year,Electronic check,1
5875-YPQFJ,new,high,69.9,69.9,1,Month-to-month,Electronic check,1
5879-SESNB,new,high,75.25,888.65,11,Month-to-month,Electronic check,0
6646-QVXLR,loyal,high,103.75,6383.35,62,One year,Electronic check,1
6461-PPAXN,mid,medium,54.95,1916.0,35,One year,Bank transfer (automatic),0
3318-ISQFQ,mid,low,19.5,413.0,20,Month-to-month,Bank transfer (automatic),0
1106-HRLKZ,loyal,low,19.6,808.95,40,Two year,Mailed check,0
2483-XSSMZ,loyal,medium,47.85,1886.4,39,One year,Electronic check,0
8603-IJWDN,new,high,86.6,86.6,1,Month-to-month,Electronic check,1
8165-ZJRNM,loyal,low,23.75,1679.25,72,Two year,Bank transfer (automatic),0
9369-XFEHK,mid,high,80.6,2656.5,33,Month-to-month,Bank transfer (automatic),1
2604-XVDAM,new,medium,43.8,540.95,12,Month-to-month,Bank transfer (automatic),0
3717-OFRTN,new,low,19.75,19.75,1,Month-to-month,Bank transfer (automatic),0
9046-JBFWA,mid,low,19.15,537.35,27,Month-to-month,Mailed check,0
3280-NMUVX,mid,low,19.6,678.8,34,One year,Credit card (automatic),0
1206-EHBDD,loyal,high,80.3,4513.65,56,Two year,Bank transfer (automatic),0
8361-LBRDI,loyal,low,24.35,1423.85,58,Two year,Credit card (automatic),0
4883-KCPZJ,mid,low,25.25,555.4,22,Two year,Credit card (automatic),0
9108-EQPNQ,new,low,26.1,225.55,10,Two year,Credit card (automatic),0
7277-KAMWT,mid,low,20.0,268.45,13,Two year,Credit card (automatic),0
3842-IYKUE,mid,high,85.3,2917.5,35,Month-to-month,Credit card (automatic),1
6641-XRPSU,mid,high,70.0,2416.1,34,Month-to-month,Credit card (automatic),1
1374-DMZUI,new,high,94.3,424.45,4,Month-to-month,Electronic check,1
2545-LXYVJ,loyal,low,20.7,1492.1,72,Two year,Bank transfer (automatic),0
3234-VKACU,new,high,70.3,132.4,2,Month-to-month,Electronic check,0
8357-EQXFO,new,high,95.35,660.9,7,Month-to-month,Electronic check,1
1989-PRJHP,mid,high,75.5,1893.95,27,Month-to-month,Electronic check,1
8120-JDCAM,new,high,69.55,284.9,4,Month-to-month,Mailed check,0
8917-FAEMR,loyal,low,19.85,784.25,37,Two year,Mailed check,0
7047-YXDMZ,mid,low,20.0,417.7,21,Month-to-month,Mailed check,0
2858-EIMXH,loyal,high,95.85,5016.25,53,One year,Credit card (automatic),0
9524-EGPJC,mid,high,90.1,1612.75,18,Month-to-month,Electronic check,1
6993-OHLXR,new,high,68.95,119.75,2,Month-to-month,Electronic check,1
8818-XYFCQ,mid,high,99.55,3204.65,32,Month-to-month,Credit card (automatic),1
6419-ZTTLE,mid,low,20.75,485.2,23,One year,Electronic check,0
0929-HYQEW,new,medium,50.15,160.85,3,Month-to-month,Mailed check,0
6614-YOLAC,loyal,medium,58.65,4145.25,71,Two year,Mailed check,0
7426-RHZGU,new,high,95.9,827.45,9,Month-to-month,Bank transfer (automatic),0
4065-JJAVA,new,medium,49.5,49.5,1,Month-to-month,Electronic check,0
4695-VADHF,mid,medium,57.45,990.85,18,Month-to-month,Electronic check,1
3863-IUBJR,new,medium,53.65,696.35,12,One year,Credit card (automatic),1
7649-SIJJF,loyal,high,80.1,5585.4,71,Two year,Mailed check,0
9361-YNQWJ,loyal,low,24.4,1601.2,64,One year,Bank transfer (automatic),0
3748-FVMZZ,new,medium,40.05,162.45,4,Month-to-month,Electronic check,0
9391-TTOYH,mid,low,19.5,470.2,23,Month-to-month,Mailed check,0
1452-XRSJV,loyal,medium,51.05,2066.0,39,Month-to-month,Credit card (automatic),0
3422-WJOYD,mid,medium,54.35,1426.45,28,One year,Mailed check,0
8242-SOQUO,new,high,84.7,392.5,5,Month-to-month,Electronic check,0
7460-ITWWP,loyal,high,86.1,3861.45,45,Month-to-month,Electronic check,0
7147-AYBAA,loyal,high,70.35,2552.9,37,Month-to-month,Mailed check,0
7868-TMWMZ,loyal,high,110.0,6668.35,60,Two year,Bank transfer (automatic),0
4822-RVYBB,new,high,100.6,819.4,8,Month-to-month,Electronic check,1
6732-FZUGP,loyal,high,94.9,4615.25,47,One year,Credit card (automatic),0
8436-BJUMM,mid,high,83.75,2070.6,26,Month-to-month,Electronic check,1
4184-TJFAN,new,high,88.3,273.75,3,Month-to-month,Mailed check,1
8329-GWVPJ,loyal,high,69.75,3557.7,50,Month-to-month,Bank transfer (automatic),0
1352-VHKAJ,mid,high,71.6,1957.1,27,Month-to-month,Bank transfer (automatic),0
4145-UQXUQ,new,high,92.1,729.95,8,Month-to-month,Electronic check,1
2632-TACXW,loyal,low,23.65,1416.75,62,Two year,Bank transfer (automatic),0
8146-QQKZH,loyal,high,81.85,5924.4,71,Two year,Bank transfer (automatic),0
1767-CJKBA,loyal,low,25.1,1697.7,66,Two year,Mailed check,0
6445-TNRXS,loyal,high,114.7,7849.85,68,Two year,Bank transfer (automatic),0
4581-LNWUM,mid,medium,49.15,649.4,13,Month-to-month,Electronic check,0
4869-EPIUS,loyal,high,80.9,4557.5,56,One year,Electronic check,0
9948-YPTDG,loyal,high,79.45,3013.05,38,Month-to-month,Electronic check,1
1236-WFCDV,mid,high,90.45,1266.1,14,Month-to-month,Credit card (automatic),1
1915-OAKWD,mid,low,19.3,360.35,16,One year,Bank transfer (automatic),0
7296-PIXQY,mid,high,70.2,1046.5,14,Month-to-month,Electronic check,0
4883-QICIH,mid,high,69.75,2347.9,32,Month-to-month,Bank transfer (automatic),1
3354-OADJP,new,medium,54.25,447.75,8,One year,Bank transfer (automatic),0
3524-WQDSG,loyal,high,99.3,4209.95,43,Month-to-month,Bank transfer (automatic),0
0810-DHDBD,loyal,high,74.0,3877.65,52,One year,Credit card (automatic),0
4026-SKKHW,new,medium,50.25,152.3,3,Month-to-month,Mailed check,0
2829-HYVZP,mid,low,19.8,572.2,29,One year,Mailed check,0
8329-IBCTI,new,low,19.65,19.65,1,Month-to-month,Mailed check,1
1271-SJBGZ,new,medium,43.65,526.95,12,Month-to-month,Electronic check,1
3845-JHAMY,mid,medium,35.5,552.7,16,Month-to-month,Credit card (automatic),0
7013-PSXHK,loyal,high,80.75,3208.65,40,One year,Mailed check,0
5669-SRAIP,new,medium,39.5,210.75,5,Month-to-month,Electronic check,1
5981-ITEMU,loyal,high,97.1,3706.95,40,Month-to-month,Bank transfer (automatic),1
3486-NPGST,mid,low,19.55,620.75,36,One year,Mailed check,0
6941-PMGEP,new,high,80.0,412.5,5,Month-to-month,Electronic check,1
1624-WOIWJ,new,high,84.7,832.05,10,Month-to-month,Mailed check,1
2074-GKOWZ,new,high,89.55,185.55,2,Month-to-month,Bank transfer (automatic),1
0376-YMCJC,mid,high,90.6,1943.2,23,Month-to-month,Electronic check,1
6100-FJZDG,mid,low,20.05,505.9,26,One year,Bank transfer (automatic),0
4829-ZLJTK,loyal,high,112.4,8046.85,72,Two year,Electronic check,0
1730-VFMWO,mid,medium,50.2,1815.3,34,Month-to-month,Bank transfer (automatic),0
7143-BQIBA,new,medium,62.25,612.95,10,Month-to-month,Bank transfer (automatic),0
3800-LYTRK,mid,medium,55.7,795.15,14,One year,Mailed check,0
0634-SZPQA,mid,high,90.05,2169.8,23,Month-to-month,Bank transfer (automatic),1
9646-NMHXE,loyal,low,19.65,973.1,47,Two year,Mailed check,0
7030-NJVDP,mid,high,89.25,2210.2,24,Month-to-month,Electronic check,0
5536-RTPWK,loyal,high,99.05,4853.75,49,Month-to-month,Bank transfer (automatic),1
8883-GRDWQ,mid,medium,54.0,1055.9,20,One year,Mailed check,0
6166-ILMNY,new,high,69.75,144.55,2,Month-to-month,Bank transfer (automatic),1
3097-NNSPB,new,medium,49.05,91.1,2,Month-to-month,Credit card (automatic),1
7771-ZONAT,mid,medium,56.75,1304.85,22,Two year,Bank transfer (automatic),0
0655-RBDUG,new,high,98.05,713.0,7,Month-to-month,Bank transfer (automatic),1
2111-DWYHN,new,low,21.1,21.1,1,Month-to-month,Mailed check,0
4194-WHFCB,loyal,high,96.65,5580.8,59,Month-to-month,Bank transfer (automatic),0
4121-AGSIN,loyal,low,24.5,1497.9,58,One year,Credit card (automatic),0
4361-BKAXE,loyal,high,114.5,4527.45,41,Month-to-month,Bank transfer (automatic),1
9845-PEEKO,loyal,high,79.2,4590.35,59,Two year,Credit card (automatic),0
0455-XFASS,new,high,69.55,200.2,3,Month-to-month,Electronic check,0
0301-KOBTQ,mid,low,20.05,614.45,32,Two year,Bank transfer (automatic),0
1751-NCDLI,loyal,high,98.85,4564.9,46,Month-to-month,Electronic check,0
4367-NUYAO,new,low,25.75,0.0,0,Two year,Mailed check,0
9878-TNQGW,new,high,80.95,171.15,2,Month-to-month,Electronic check,1
9170-ARBTB,loyal,low,19.6,1012.4,52,One year,Credit card (automatic),0
4441-NIHPT,mid,high,74.3,940.35,13,Month-to-month,Electronic check,1
8999-BOHSE,new,high,89.7,1047.7,11,Month-to-month,Bank transfer (automatic),1
7241-AJHFS,mid,high,87.65,2766.4,32,Month-to-month,Bank transfer (automatic),0
7029-RPUAV,mid,high,100.45,1622.45,17,Month-to-month,Credit card (automatic),1
4546-FOKWR,mid,high,74.75,1129.35,16,Month-to-month,Credit card (automatic),0
9036-CSKBW,loyal,high,107.45,5680.9,51,One year,Bank transfer (automatic),0
5832-TRLPB,mid,high,75.35,2243.9,29,One year,Bank transfer (automatic),0
8590-YFFQO,loyal,medium,64.95,4523.25,70,Two year,Credit card (automatic),0
8659-IOOPU,loyal,high,100.45,7159.7,71,Two year,Electronic check,0
1338-CECEE,loyal,high,68.5,2839.95,41,One year,Bank transfer (automatic),0
7439-DKZTW,new,high,80.55,80.55,1,Month-to-month,Electronic check,0
4646-QZXTF,new,high,81.25,580.1,7,Month-to-month,Bank transfer (automatic),0
4607-CHPCA,mid,high,90.4,2178.6,25,One year,Electronic check,1
9742-XOKTS,loyal,high,89.55,6038.55,67,One year,Electronic check,0
6921-OZMFH,new,medium,55.7,259.4,5,Month-to-month,Mailed check,0
9578-FOMUK,mid,low,24.8,324.15,15,Month-to-month,Electronic check,0
4712-UYOOI,mid,low,20.0,417.65,20,Month-to-month,Electronic check,0
8824-RWFXJ,new,medium,56.15,168.15,3,Month-to-month,Mailed check,1
7722-CVFXN,loyal,high,105.2,5637.85,54,One year,Electronic check,0
8717-VCTXJ,loyal,low,19.55,839.4,42,One year,Mailed check,0
7363-QTBIW,new,high,79.75,769.1,9,Month-to-month,Electronic check,0
4159-NAAIX,loyal,high,97.45,6253.0,63,Two year,Bank transfer (automatic),0
0971-QIFJK,loyal,low,24.25,1641.8,69,Two year,Bank transfer (automatic),0
9397-TZSHA,loyal,low,24.6,1678.05,69,Two year,Credit card (automatic),0
3391-JSQEW,loyal,medium,50.15,2058.5,40,Month-to-month,Mailed check,0
0343-QLUZP,loyal,medium,39.6,2424.5,60,Two year,Bank transfer (automatic),0
9763-PDTKK,new,high,94.4,387.2,4,Month-to-month,Bank transfer (automatic),1
2176-LVPNX,loyal,high,89.85,6293.45,71,Two year,Mailed check,0
7627-JKIAZ,loyal,high,78.95,2839.65,37,Month-to-month,Credit card (automatic),1
3312-UUMZW,mid,high,98.85,3145.9,32,Month-to-month,Credit card (automatic),0
1271-UODNO,loyal,medium,53.85,2200.7,39,Two year,Credit card (automatic),0
8461-EFQYM,loyal,low,24.25,914.4,38,One year,Electronic check,0
6900-RBKER,loyal,high,89.45,4577.75,52,Two year,Credit card (automatic),0
6891-JPYFF,loyal,high,105.25,4997.5,48,Month-to-month,Credit card (automatic),0
1459-QNFQT,loyal,medium,59.5,4144.8,70,Two year,Bank transfer (automatic),0
1047-NNCBF,mid,high,70.55,1493.55,20,Month-to-month,Credit card (automatic),0
3696-XRIEN,loyal,high,82.5,4179.1,50,One year,Credit card (automatic),0
4081-DYXAV,mid,medium,44.85,893.55,19,One year,Credit card (automatic),1
0074-HDKDG,mid,medium,61.6,1611.0,25,One year,Bank transfer (automatic),0
8791-GFXLZ,new,medium,49.05,593.05,12,Month-to-month,Bank transfer (automatic),0
8111-SLLHI,loyal,high,105.65,4284.8,39,Month-to-month,Electronic check,1
0927-LCSMG,new,high,74.65,544.55,7,Month-to-month,Mailed check,1
9330-DHBFL,mid,high,66.25,1533.8,23,One year,Mailed check,0
0098-BOWSO,mid,low,19.4,529.8,27,Month-to-month,Electronic check,0
3452-ABWRL,loyal,high,86.05,3865.6,47,Month-to-month,Credit card (automatic),0
5859-HZYLF,mid,low,19.15,515.75,26,Two year,Credit card (automatic),0
8257-RZAHR,mid,medium,64.7,941.0,14,Month-to-month,Bank transfer (automatic),1
5293-WXJAK,new,high,104.05,1133.65,11,Month-to-month,Bank transfer (automatic),1
3156-QLHBO,new,low,19.25,48.35,2,Month-to-month,Mailed check,0
2208-NQBCT,mid,high,81.95,2070.05,26,Month-to-month,Electronic check,0
1779-PWPMG,loyal,high,114.65,8333.95,72,Two year,Bank transfer (automatic),0
6621-NRZAK,loyal,low,20.0,1209.25,63,Two year,Credit card (automatic),0
0831-JNISG,loyal,low,19.8,1396.25,71,Two year,Mailed check,0
0774-IFUVM,new,high,65.15,723.35,11,Month-to-month,Bank transfer (automatic),0
3082-WQRVY,mid,low,19.65,228.65,14,One year,Mailed check,0
9553-DLCLU,mid,high,88.95,1161.75,13,Two year,Credit card (automatic),0
1641-BYBTK,new,low,20.2,98.35,6,Month-to-month,Mailed check,0
2460-NGXBJ,new,high,75.2,775.3,11,Month-to-month,Credit card (automatic),0
2446-ZKVAF,mid,medium,56.8,1074.65,18,Month-to-month,Credit card (automatic),0
0841-NULXI,new,medium,35.55,35.55,1,Month-to-month,Electronic check,1
3522-CDKHF,mid,high,75.5,2324.7,32,Month-to-month,Bank transfer (automatic),0
1430-SFQSA,mid,medium,35.6,1072.6,29,One year,Mailed check,0
0411-EZJZE,new,medium,60.25,170.5,3,Month-to-month,Electronic check,0
7851-WZEKY,new,high,95.15,196.9,2,Month-to-month,Electronic check,1
8844-TONUD,mid,high,96.65,1162.85,13,Month-to-month,Mailed check,1
8807-ARQET,loyal,medium,40.35,1677.85,41,Month-to-month,Electronic check,0
8992-CEUEN,new,low,18.85,18.85,1,Month-to-month,Electronic check,0
4320-QMLLA,new,medium,54.85,370.4,7,Month-to-month,Mailed check,0
8777-PVYGU,loyal,medium,64.3,3410.6,52,One year,Mailed check,0
8292-ITGYJ,loyal,low,24.65,1138.8,45,Two year,Bank transfer (automatic),0
6870-ZWMNX,loyal,high,76.1,5264.25,70,Two year,Credit card (automatic),0
0621-CXBKL,loyal,low,18.7,1005.7,53,Two year,Mailed check,0
5268-DSMNQ,loyal,high,97.95,5936.55,62,One year,Credit card (automatic),0
5334-JLAXU,loyal,high,94.1,5475.9,60,Month-to-month,Credit card (automatic),0
4086-YQSNZ,new,high,80.4,224.05,3,Month-to-month,Electronic check,1
6242-MBHPK,mid,high,95.1,2326.05,23,Month-to-month,Electronic check,0
5868-CZJDR,new,low,31.35,31.35,1,Month-to-month,Mailed check,1
9359-UGBTK,loyal,high,72.35,4991.5,67,One year,Bank transfer (automatic),0
0135-NMXAP,new,high,89.75,1052.4,12,Month-to-month,Bank transfer (automatic),1
4782-OSFXZ,loyal,high,82.7,5831.2,71,Two year,Bank transfer (automatic),0
6479-OAUSD,mid,low,19.9,510.8,25,One year,Credit card (automatic),0
7129-ACFOG,new,medium,53.8,283.95,5,Month-to-month,Electronic check,0
4189-NAKJS,mid,medium,51.55,1295.4,26,One year,Credit card (automatic),0
5562-BETPV,new,low,19.65,19.65,1,One year,Mailed check,0
1282-IHQAC,loyal,medium,44.05,3011.65,70,One year,Credit card (automatic),0
9127-FHJBZ,loyal,high,114.0,8093.15,72,Two year,Electronic check,0
6270-OMFIW,loyal,high,94.4,5610.25,60,One year,Electronic check,1
1641-RQDAY,mid,high,100.4,3217.65,32,Month-to-month,Electronic check,0
0107-WESLM,new,low,19.85,19.85,1,Month-to-month,Electronic check,1
6994-ORCWG,mid,medium,54.25,773.2,14,One year,Mailed check,0
1346-UFHAX,mid,high,80.0,1029.35,13,Month-to-month,Credit card (automatic),0
3992-YWPKO,new,high,109.9,669.45,6,Month-to-month,Credit card (automatic),1
2933-XEUJM,loyal,high,79.2,3593.8,46,Two year,Mailed check,0
0125-LZQXK,mid,high,101.35,1553.95,15,Month-to-month,Electronic check,1
5461-QKNTN,loyal,high,94.3,3953.15,43,Month-to-month,Electronic check,0
4835-YSJMR,loyal,medium,49.8,1971.15,39,Two year,Bank transfer (automatic),0
8399-YNDCH,mid,medium,60.05,1236.15,21,Month-to-month,Bank transfer (automatic),1
3164-YAXFY,loyal,medium,53.75,3196.0,57,Month-to-month,Electronic check,0
0887-WBJVH,loyal,high,93.45,4872.2,53,One year,Electronic check,0
4660-IRIBM,mid,high,87.9,1500.5,18,Month-to-month,Mailed check,0
5673-FSSMF,new,medium,60.15,60.15,1,Month-to-month,Electronic check,1
7670-ZBPOQ,loyal,medium,61.05,3478.75,58,One year,Bank transfer (automatic),0
8089-UZWLX,loyal,high,104.05,7413.55,71,Two year,Bank transfer (automatic),0
0080-OROZO,mid,high,99.25,3532.0,35,One year,Electronic check,0
3916-NRPAP,new,high,85.7,256.75,3,Month-to-month,Credit card (automatic),0
6807-SIWJI,loyal,high,104.85,3887.25,38,One year,Electronic check,0
8221-HVAYI,mid,high,69.15,2490.15,35,Two year,Credit card (automatic),0
1579-KLYDT,new,high,90.45,593.45,7,Month-to-month,Electronic check,1
5232-NXPAY,loyal,high,74.45,3510.3,47,Two year,Mailed check,0
8967-SZQAS,mid,medium,50.45,765.45,14,Month-to-month,Electronic check,0
4468-KAZHE,mid,medium,60.0,1259.35,20,Month-to-month,Electronic check,0
0455-ENTCR,loyal,high,85.25,5538.35,66,Two year,Electronic check,0
8944-AILEF,mid,low,19.45,340.85,15,Month-to-month,Credit card (automatic),0
5542-NKVRU,loyal,low,20.75,844.45,42,Two year,Bank transfer (automatic),0
7126-RBHSD,mid,high,78.9,1348.95,17,Month-to-month,Electronic check,0
5370-IIVVL,loyal,high,104.5,3778.0,37,One year,Credit card (automatic),0
6789-HJBWG,new,medium,49.4,611.65,12,Month-to-month,Electronic check,0
3927-NLNRY,loyal,high,94.25,4867.95,53,One year,Bank transfer (automatic),1
9087-EYCPR,loyal,low,25.0,1505.05,60,Two year,Mailed check,0
6791-YBNAK,mid,low,25.55,467.85,18,Month-to-month,Credit card (automatic),0
6358-LYNGM,new,high,74.9,74.9,1,Month-to-month,Electronic check,1
6077-BDPXA,new,high,70.15,194.2,3,Month-to-month,Electronic check,0
0013-MHZWF,new,high,69.4,571.45,9,Month-to-month,Credit card (automatic),0
5494-HECPR,new,high,80.25,80.25,1,Month-to-month,Electronic check,1
8268-YDIXR,loyal,high,93.15,5253.95,56,One year,Electronic check,0
9824-BEMCV,mid,high,69.0,1149.65,17,Month-to-month,Electronic check,1
1373-ORVIZ,new,high,66.35,740.8,11,Month-to-month,Electronic check,1
4291-SHSBH,new,high,69.55,521.35,7,Month-to-month,Electronic check,0
6980-IMXXE,loyal,low,20.2,1412.65,69,Two year,Bank transfer (automatic),0
9866-QEVEE,mid,high,86.0,1532.45,19,Month-to-month,Bank transfer (automatic),1
9897-KXHCM,new,high,80.3,250.05,3,Month-to-month,Electronic check,1
0040-HALCW,loyal,low,20.4,1090.6,54,Two year,Credit card (automatic),0
0784-GTUUK,loyal,low,23.75,1446.8,62,One year,Credit card (automatic),0
7979-CORPM,mid,high,90.55,2282.55,24,Month-to-month,Credit card (automatic),1
2294-DMMUS,loyal,high,70.45,4300.45,62,Month-to-month,Credit card (automatic),0
0872-JCPIB,mid,high,65.75,1111.2,17,Month-to-month,Bank transfer (automatic),0
3055-MJDSB,new,low,24.6,190.1,9,Month-to-month,Mailed check,0
9091-WTUUY,loyal,high,69.25,4447.75,64,Two year,Mailed check,0
1618-CFHME,new,high,75.9,143.35,2,Month-to-month,Electronic check,1
3165-HDOEW,new,medium,45.85,45.85,1,Month-to-month,Mailed check,1
6581-NQCBA,mid,medium,49.95,810.2,16,Month-to-month,Electronic check,1
7115-IRDHS,loyal,low,24.65,1830.05,72,Two year,Bank transfer (automatic),0
8496-DMZUK,mid,high,90.4,2820.65,30,One year,Bank transfer (automatic),0
2040-VZIKE,loyal,high,100.85,4847.35,49,Month-to-month,Mailed check,0
9068-VPWQQ,loyal,high,75.35,4729.3,61,Two year,Credit card (automatic),0
0178-SZBHO,loyal,high,87.2,4017.45,47,Month-to-month,Electronic check,0
0384-RVBPI,mid,medium,64.4,1398.6,20,Month-to-month,Credit card (automatic),0
1689-MRZQR,mid,high,78.3,2564.3,34,Month-to-month,Electronic check,1
1299-AURJA,loyal,low,24.7,1685.9,70,Two year,Bank transfer (automatic),0
4525-VZCZG,loyal,high,105.85,5826.65,54,One year,Electronic check,0
1543-LLLFT,loyal,high,98.3,6066.55,61,One year,Mailed check,0
5835-BEQEU,new,high,76.95,228.4,3,Month-to-month,Electronic check,1
2788-CJQAQ,mid,low,19.45,270.2,13,One year,Mailed check,0
5565-FILXA,mid,high,96.15,1529.2,16,Month-to-month,Electronic check,1
0319-QZTCO,new,medium,58.7,168.6,3,Month-to-month,Credit card (automatic),0
2120-SMPEX,mid,low,20.15,536.35,25,Month-to-month,Mailed check,0
0096-FCPUF,mid,medium,64.5,1888.45,30,Month-to-month,Mailed check,0
0668-OGMHD,mid,low,28.5,629.35,21,Month-to-month,Electronic check,0
5552-ZNFSJ,new,medium,45.3,45.3,1,Month-to-month,Electronic check,1
2223-KAGMX,mid,low,19.4,289.3,15,Month-to-month,Bank transfer (automatic),1
6507-ZJSUR,mid,high,90.45,2117.25,23,Month-to-month,Electronic check,0
9408-HRXRK,loyal,high,105.15,4730.9,45,Month-to-month,Electronic check,0
5593-SUAOO,mid,high,83.15,2033.05,24,One year,Bank transfer (automatic),0
7321-PKUYW,new,high,90.15,987.95,11,Month-to-month,Electronic check,1
2833-SLKDQ,new,medium,45.05,45.05,1,Month-to-month,Mailed check,1
6766-HFKLA,loyal,high,103.2,5744.35,56,Two year,Bank transfer (automatic),0
7595-EUIVN,new,high,75.8,75.8,1,Month-to-month,Electronic check,1
7617-EYGLW,new,low,19.45,19.45,1,Month-to-month,Electronic check,0
2026-TGDHM,new,high,79.3,523.15,7,Month-to-month,Electronic check,1
9220-ZNKJI,loyal,high,88.8,4805.3,55,Two year,Credit card (automatic),0
4030-VPZBD,new,low,30.9,59.05,2,Month-to-month,Electronic check,1
2226-ICFDO,loyal,high,85.9,6110.75,72,Two year,Credit card (automatic),0
0723-VSOBE,loyal,low,34.2,1596.6,45,One year,Electronic check,0
5529-GIBVH,loyal,low,20.15,1046.2,47,Two year,Mailed check,0
4187-CINZD,loyal,high,95.25,4424.2,46,One year,Credit card (automatic),1
9992-UJOEL,new,medium,50.3,92.75,2,Month-to-month,Mailed check,0
4741-WWJQZ,new,high,80.15,194.55,2,Month-to-month,Electronic check,0
6625-UTXEW,new,medium,51.25,612.1,12,Month-to-month,Electronic check,0
6818-WOBHJ,loyal,high,89.6,6127.6,68,Month-to-month,Bank transfer (automatic),1
6244-BESBM,loyal,high,95.2,6671.7,69,Two year,Credit card (automatic),0
1004-NOZNR,loyal,high,94.8,5264.3,56,One year,Credit card (automatic),0
1251-STYSZ,new,high,80.25,303.7,4,Month-to-month,Electronic check,0
2612-PHGOX,loyal,high,76.1,4818.8,64,Two year,Bank transfer (automatic),0
2408-TZMJL,loyal,high,110.15,6448.05,59,One year,Electronic check,1
8480-PPONV,loyal,high,115.55,7159.05,62,Two year,Bank transfer (automatic),0
8780-IHCRN,loyal,low,24.65,1574.5,63,Two year,Credit card (automatic),0
4598-ZADCK,loyal,medium,53.6,2879.2,53,One year,Electronic check,0
1257-SXUXQ,new,low,19.45,86.05,5,Month-to-month,Mailed check,0
9681-KYGYB,loyal,high,88.2,4159.45,49,Month-to-month,Electronic check,0
7182-OVLBJ,loyal,high,101.15,6638.35,62,Two year,Bank transfer (automatic),0
5095-ETBRJ,loyal,medium,56.8,3112.05,55,Two year,Mailed check,0
7005-CYUIL,loyal,high,99.4,7168.25,71,Two year,Electronic check,0
4821-WQOYN,loyal,low,20.1,1326.25,72,Two year,Credit card (automatic),0
4730-AWNAU,mid,medium,60.7,2234.55,36,One year,Credit card (automatic),0
3452-FLHYD,mid,low,20.95,495.15,25,One year,Bank transfer (automatic),0
2388-LAESQ,loyal,high,114.85,8317.95,72,Two year,Bank transfer (automatic),0
9531-NSBMR,mid,low,19.25,679.8,36,One year,Bank transfer (automatic),0
6260-ONULR,new,medium,62.8,62.8,1,Month-to-month,Mailed check,0
4389-UEFCZ,loyal,high,105.5,7544.0,72,Two year,Electronic check,0
8711-LOBKY,loyal,low,19.85,1188.25,59,Two year,Mailed check,0
9134-CEQMF,new,high,89.5,676.7,7,Month-to-month,Electronic check,1
8985-OOPOS,new,high,74.1,74.1,1,One year,Credit card (automatic),0
8800-ZKRFW,mid,high,107.5,3242.5,30,Month-to-month,Electronic check,0
2616-FLVQC,loyal,low,19.55,1240.15,64,Two year,Mailed check,0
9968-FFVVH,loyal,high,68.8,4111.35,63,One year,Bank transfer (automatic),0
3108-PCCGG,loyal,high,84.45,5899.85,72,Two year,Credit card (automatic),0
7993-PYKOF,new,high,75.0,632.95,8,Month-to-month,Electronic check,1
8390-FESFV,loyal,high,84.5,5193.2,62,Two year,Bank transfer (automatic),0
3022-BEXHZ,loyal,high,111.2,7530.8,67,Two year,Bank transfer (automatic),0
5027-XWQHA,new,medium,44.75,270.95,6,Month-to-month,Electronic check,1
6248-TKCQV,loyal,high,80.6,5460.2,70,Two year,Bank transfer (automatic),0
6729-GDNGC,mid,high,80.7,1614.2,20,Month-to-month,Bank transfer (automatic),0
6198-ZFIOJ,new,high,75.6,402.5,5,Month-to-month,Electronic check,0
5989-OMNJE,mid,medium,57.6,1367.75,24,One year,Electronic check,0
4566-QVRRW,new,medium,44.05,483.7,11,Month-to-month,Electronic check,1
1291-CUOCY,loyal,high,110.6,7962.2,72,Two year,Credit card (automatic),0
9795-SHUHB,loyal,medium,58.2,3810.8,66,Two year,Credit card (automatic),0
3230-IUALN,loyal,high,81.0,3533.6,45,Two year,Mailed check,0
0042-RLHYP,loyal,low,19.7,1396.9,69,Two year,Bank transfer (automatic),0
8519-IMDHU,mid,high,85.6,1345.55,15,Month-to-month,Bank transfer (automatic),1
4945-RVMTE,mid,medium,59.55,1646.45,28,Month-to-month,Bank transfer (automatic),0
0201-OAMXR,loyal,high,115.55,8127.6,70,One year,Credit card (automatic),1
1866-NXPSP,mid,high,75.55,2680.15,36,One year,Mailed check,0
